ID_met_antibiogram,FK_tbl_antibio_mcro,P_res,P_antibiogram,P_rgStart,P_rgEnd,OX_res,OX_antibiogram,OX_rgStart,OX_rgEnd,AMP_res,AMP_antibiogram,AMP_rgStart,AMP_rgEnd,TIC_res,TIC_antibiogram,TIC_rgStart,TIC_rgEnd,MEZ_res,MEZ_antibiogram,MEZ_rgStart,MEZ_rgEnd,KF_res,KF_antibiogram,KF_rgStart,KF_rgEnd,KZ_res,KZ_antibiogram,KZ_rgStart,KZ_rgEnd,CTX_res,CTX_antibiogram,CTX_rgStart,CTX_rgEnd,ATM_res,ATM_antibiogram,ATM_rgStart,ATM_rgEnd,IPM_res,IPM_antibiogram,IPM_rgStart,IPM_rgEnd,TE_res,TE_antibiogram,TE_rgStart,TE_rgEnd,C_res,C_antibiogram,C_rgStart,C_rgEnd,CN_res,CN_antibiogram,CN_rgStart,CN_rgEnd,AK_res,AK_antibiogram,AK_rgStart,AK_rgEnd,VA_res,VA_antibiogram,VA_rgStart,VA_rgEnd,E_res,E_antibiogram,E_rgStart,E_rgEnd,MY_res,MY_antibiogram,MY_rgStart,MY_rgEnd,OFX_res,OFX_antibiogram,OFX_rgStart,OFX_rgEnd,NOR_res,NOR_antibiogram,NOR_rgStart,NOR_rgEnd,CT_res,CT_antibiogram,CT_rgStart,CT_rgEnd,PIP_res,PIP_antibiogram,PIP_rgStart,PIP_rgEnd,F_res,F_antibiogram,F_rgStart,F_rgEnd,B_res,B_antibiogram,B_rgStart,B_rgEnd,PB_res,PB_antibiogram,PB_rgStart,PB_rgEnd,K_res,K_antibiogram,K_rgStart,K_rgEnd,N_res,N_antibiogram,N_rgStart,N_rgEnd,DO_res,DO_antibiogram,DO_rgStart,DO_rgEnd,CRO_res,CRO_antibiogram,CRO_rgStart,CRO_rgEnd,DA_res,DA_antibiogram,DA_rgStart,DA_rgEnd,FOS_res,FOS_antibiogram,FOS_rgStart,FOS_rgEnd,MXF_res,MXF_antibiogram,MXF_rgStart,MXF_rgEnd,LZD_res,LZD_antibiogram,LZD_rgStart,LZD_rgEnd,NS_res,NS_antibiogram,NS_rgStart,NS_rgEnd,QD_res,QD_antibiogram,QD_rgStart,QD_rgEnd,TEC_res,TEC_antibiogram,TEC_rgStart,TEC_rgEnd,TZP_res,TZP_antibiogram,TZP_rgStart,TZP_rgEnd,Medium_antibiogram,Inc_temp_antibiogram,Inc_time_antibiogram,Inc_ox_antibiogram,ID_strains,ID_reference,manual_annotation,last_change
132,135,0,22-24,22,24,0,10-12,10,12,0,26-28,26,28,0,26-28,26,28,0,30-32,30,32,0,18-20,18,20,0,20,20,20,0.0,26-28,26.0,28.0,0.0,0,0.0,0.0,0,28-30,28,30,0,14-16,14,16,0.0,26,26.0,26.0,0,14,14,14,0.0,10,10.0,10.0,0,20,20,20,0,18-20,18,20,0,0,0,0,0,20,20,20,0,20,20,20,0.0,0,0.0,0.0,0,0,0,0,0,26,26,26,0,16-18,16,18,0,0,0,0,0.0,22-24,22.0,24.0,0,12,12,12,0,20,20,20,0.0,20,20.0,20.0,0.0,10,10.0,10.0,0.0,28-30,28.0,30.0,0.0,24-26,24.0,26.0,0.0,26,26.0,26.0,0.0,0,0.0,0.0,0.0,14-16,14.0,16.0,0.0,20,20.0,20.0,0.0,28,28.0,28.0,Mueller-Hinton Agar,,,,5279,1124,1,2019-11-27 10:57:22
133,136,0,22,22,22,0,10-12,10,12,0,28-30,28,30,0,24-26,24,26,0,30,30,30,0,18,18,18,0,18,18,18,0.0,24,24.0,24.0,0.0,0,0.0,0.0,0,30-32,30,32,0,18-20,18,20,0.0,26,26.0,26.0,0,12,12,12,0.0,10,10.0,10.0,0,20,20,20,0,22,22,22,0,0,0,0,0,22,22,22,0,22,22,22,0.0,0,0.0,0.0,0,0,0,0,0,26,26,26,0,18,18,18,0,0,0,0,0.0,12,12.0,12.0,0,12,12,12,0,18,18,18,0.0,20,20.0,20.0,0.0,10,10.0,10.0,0.0,24,24.0,24.0,0.0,28,28.0,28.0,0.0,24-26,24.0,26.0,0.0,0,0.0,0.0,0.0,18,18.0,18.0,0.0,20,20.0,20.0,0.0,26,26.0,26.0,Mueller-Hinton Agar,,,,5279,1124,1,2019-11-27 10:57:22
134,137,0,24,24,24,0,10,10,10,0,30,30,30,0,24-26,24,26,0,30,30,30,0,18,18,18,0,20-22,20,22,0.0,26,26.0,26.0,0.0,0,0.0,0.0,0,32,32,32,0,20,20,20,0.0,26,26.0,26.0,0,16,16,16,0.0,12,12.0,12.0,0,20,20,20,0,22,22,22,0,6-8,6,8,0,20-22,20,22,0,22,22,22,0.0,0,0.0,0.0,0,0,0,0,0,30,30,30,0,18,18,18,0,8,8,8,0.0,14-16,14.0,16.0,0,14,14,14,0,20,20,20,0.0,20,20.0,20.0,0.0,10,10.0,10.0,0.0,28,28.0,28.0,0.0,26-28,26.0,28.0,0.0,24-26,24.0,26.0,0.0,0,0.0,0.0,0.0,16,16.0,16.0,0.0,20,20.0,20.0,0.0,28,28.0,28.0,Mueller-Hinton Agar,,,,5279,1124,1,2019-11-27 10:57:22
135,138,0,22-24,22,24,0,10,10,10,0,28-30,28,30,0,26-28,26,28,0,30-32,30,32,0,18,18,18,0,20,20,20,0.0,26,26.0,26.0,0.0,0,0.0,0.0,0,30,30,30,0,16-18,16,18,0.0,24-26,24.0,26.0,0,16,16,16,0.0,12,12.0,12.0,0,18,18,18,0,24,24,24,0,0,0,0,0,20,20,20,0,20-22,20,22,0.0,0,0.0,0.0,0,0,0,0,0,22-24,22,24,0,18,18,18,0,6,6,6,0.0,14,14.0,14.0,0,12,12,12,0,20,20,20,0.0,20-22,20.0,22.0,0.0,10-12,10.0,12.0,0.0,26,26.0,26.0,0.0,26,26.0,26.0,0.0,30,30.0,30.0,0.0,0,0.0,0.0,0.0,14,14.0,14.0,0.0,18,18.0,18.0,0.0,26,26.0,26.0,Mueller-Hinton Agar,37.0,,microaerophil,5279,1124,1,2019-11-27 10:57:22
136,139,0,18,18,18,0,10,10,10,0,22,22,22,0,18,18,18,0,22,22,22,0,0,0,0,0,14,14,14,0.0,16,16.0,16.0,0.0,0,0.0,0.0,0,20,20,20,0,12,12,12,,n.d.,,,0,8,8,8,0.0,6,6.0,6.0,0,12,12,12,0,12,12,12,0,6,6,6,0,16,16,16,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,14,14,14,0,12,12,12,0,0,0,0,0.0,6,6.0,6.0,0,8,8,8,0,12,12,12,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,5279,1124,1,2019-11-27 10:57:22
137,140,0,24,24,24,0,12,12,12,0,32,32,32,0,28,28,28,0,32,32,32,0,18,18,18,0,20,20,20,0.0,28,28.0,28.0,0.0,0,0.0,0.0,0,32,32,32,0,18,18,18,0.0,28,28.0,28.0,0,14,14,14,0.0,10,10.0,10.0,0,20,20,20,0,20,20,20,0,0,0,0,0,22,22,22,0,20,20,20,0.0,0,0.0,0.0,0,0,0,0,0,26,26,26,0,16,16,16,0,8,8,8,0.0,12,12.0,12.0,0,12,12,12,0,22,22,22,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,microaerophil,5279,1124,1,2019-11-27 10:57:22
138,141,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,14,14,14,0,0,0,0,0,0,0,0,0.0,8,8.0,8.0,0.0,0,0.0,0.0,0,16,16,16,0,12-14,12,14,0.0,20-22,20.0,22.0,0,0,0,0,0.0,10,10.0,10.0,0,22,22,22,0,12-14,12,14,0,0,0,0,0,20,20,20,0,12,12,12,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,18,18.0,18.0,0,0,0,0,0,28,28,28,0.0,10,10.0,10.0,0.0,28,28.0,28.0,0.0,0,0.0,0.0,0.0,30-32,30.0,32.0,0.0,8,8.0,8.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14,14.0,14.0,0.0,30,30.0,30.0,Mueller-Hinton Agar,,,,5506,1230,1,2019-11-27 10:57:22
139,142,0,0,0,0,0,0,0,0,0,22,22,22,0,34,34,34,0,30,30,30,0,20-22,20,22,0,30-32,30,32,0.0,42,42.0,42.0,0.0,40,40.0,40.0,0,36,36,36,0,30,30,30,0.0,26-28,26.0,28.0,0,22-24,22,24,0.0,24-26,24.0,26.0,0,0,0,0,0,12,12,12,0,0,0,0,0,32-34,32,34,0,34,34,34,0.0,16,16.0,16.0,0,28,28,28,0,26,26,26,0,0,0,0,0,16,16,16,0.0,34,34.0,34.0,0,20,20,20,0,22,22,22,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,>50,50.0,100.0,0.0,32,32.0,32.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30-32,30.0,32.0,Mueller-Hinton Agar,,,,4437,1141,1,2019-11-27 10:57:22
140,143,0,22,22,22,0,10-12,10,12,0,26,26,26,0,24,24,24,0,28-30,28,30,0,16,16,16,0,18-20,18,20,0.0,22-24,22.0,24.0,0.0,0,0.0,0.0,0,30,30,30,0,32-34,32,34,0.0,28,28.0,28.0,0,12,12,12,0.0,8-10,8.0,10.0,0,20,20,20,0,20,20,20,0,0,0,0,0,20,20,20,0,20,20,20,0.0,0,0.0,0.0,0,0,0,0,0,26,26,26,0,16,16,16,0,0,0,0,0.0,24,24.0,24.0,0,10,10,10,0,32,32,32,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,,,,5280,1266,1,2019-11-27 10:57:22
141,144,0,0,0,0,0,0,0,0,0,0,0,0,0,24-26,24,26,0,14,14,14,0,0,0,0,0,0,0,0,0.0,18,18.0,18.0,0.0,24,24.0,24.0,0,28,28,28,0,12,12,12,0.0,10-12,10.0,12.0,0,20,20,20,0.0,24,24.0,24.0,0,0,0,0,0,10,10,10,0,0,0,0,0,20-22,20,22,0,30,30,30,0.0,14,14.0,14.0,0,16,16,16,0,0,0,0,0,0,0,0,0,16,16,16,0.0,12,12.0,12.0,0,16-18,16,18,0,10,10,10,0.0,22,22.0,22.0,0.0,0,0.0,0.0,0.0,34,34.0,34.0,0.0,20,20.0,20.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,24,24.0,24.0,Mueller-Hinton Agar,37.0,1.0,aerob,12764,1322,1,2019-11-27 10:57:22
142,145,0,24,24,24,0,36,36,36,0,28,28,28,0,30,30,30,0,24-26,24,26,0,38,38,38,0,32,32,32,0.0,32,32.0,32.0,0.0,0,0.0,0.0,0,50,50,50,0,28,28,28,0.0,10-12,10.0,12.0,0,28,28,28,0.0,24-26,24.0,26.0,0,20,20,20,0,30-32,30,32,0,32-34,32,34,0,30,30,30,0,32,32,32,0.0,8,8.0,8.0,0,20-22,20,22,0,28,28,28,0,16-18,16,18,0,10-12,10,12,0.0,12-14,12.0,14.0,0,10,10,10,0,26,26,26,0.0,30-32,30.0,32.0,0.0,36-38,36.0,38.0,0.0,40,40.0,40.0,0.0,34,34.0,34.0,0.0,32-34,32.0,34.0,0.0,0,0.0,0.0,0.0,30,30.0,30.0,0.0,16,16.0,16.0,0.0,32,32.0,32.0,Mueller-Hinton Agar,37.0,,,14523,1344,1,2019-11-27 10:57:22
143,146,0,22-24,22,24,0,12,12,12,0,26-28,26,28,0,26-28,26,28,0,20-22,20,22,0,16-18,16,18,0,10,10,10,0.0,14,14.0,14.0,0.0,0,0.0,0.0,0,26,26,26,0,30,30,30,0.0,26-28,26.0,28.0,0,16,16,16,0.0,14,14.0,14.0,0,20-22,20,22,0,26-28,26,28,0,10,10,10,0,22,22,22,0,22,22,22,0.0,0,0.0,0.0,0,0,0,0,0,24,24,24,0,20,20,20,0,0,0,0,0.0,16-18,16.0,18.0,0,16-18,16,18,0,28-30,28,30,0.0,14,14.0,14.0,0.0,10,10.0,10.0,0.0,20,20.0,20.0,0.0,24,24.0,24.0,0.0,22-24,22.0,24.0,0.0,0,0.0,0.0,0.0,20,20.0,20.0,0.0,20,20.0,20.0,0.0,20,20.0,20.0,Mueller-Hinton Agar,,,,5315,1357,1,2019-11-27 10:57:22
144,147,0,22-24,22,24,0,10,10,10,0,26-28,26,28,0,28,28,28,0,20,20,20,0,18,18,18,0,10,10,10,0.0,12,12.0,12.0,0.0,0,0.0,0.0,0,26,26,26,0,30-32,30,32,0.0,28,28.0,28.0,0,12,12,12,0.0,12,12.0,12.0,0,20,20,20,0,28-30,28,30,0,8,8,8,0,20,20,20,0,22,22,22,0.0,0,0.0,0.0,0,0,0,0,0,18,18,18,0,20,20,20,0,0,0,0,0.0,12,12.0,12.0,0,12,12,12,0,30,30,30,0.0,16,16.0,16.0,0.0,12,12.0,12.0,0.0,20,20.0,20.0,0.0,24,24.0,24.0,0.0,28,28.0,28.0,0.0,0,0.0,0.0,0.0,22,22.0,22.0,0.0,20,20.0,20.0,0.0,20,20.0,20.0,Mueller-Hinton Agar,37.0,,microaerophil,5315,1357,1,2019-11-27 10:57:22
145,148,0,24,24,24,0,10,10,10,0,30,30,30,0,26-28,26,28,0,22,22,22,0,18,18,18,0,10-12,10,12,0.0,16,16.0,16.0,0.0,0,0.0,0.0,0,26,26,26,0,30,30,30,0.0,26-28,26.0,28.0,0,12,12,12,0.0,12,12.0,12.0,0,22,22,22,0,28,28,28,0,8-10,8,10,0,22,22,22,0,24,24,24,0.0,0,0.0,0.0,0,0,0,0,0,18,18,18,0,22,22,22,0,0,0,0,0.0,12,12.0,12.0,0,14,14,14,0,30,30,30,0.0,18,18.0,18.0,0.0,10,10.0,10.0,0.0,20,20.0,20.0,0.0,24,24.0,24.0,0.0,28-30,28.0,30.0,0.0,0,0.0,0.0,0.0,20-22,20.0,22.0,0.0,20,20.0,20.0,0.0,20,20.0,20.0,Mueller-Hinton Agar,37.0,1.0,microaerophil,5315,1357,1,2019-11-27 10:57:22
146,149,0,18,18,18,0,0,0,0,0,18,18,18,0,18-20,18,20,0,16-18,16,18,0,8,8,8,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,18-20,18,20,0,18-20,18,20,0.0,16-18,16.0,18.0,0,8,8,8,0.0,6,6.0,6.0,0,14,14,14,0,14,14,14,0,6,6,6,0,12,12,12,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,10,10,10,0,14,14,14,0,0,0,0,0.0,8,8.0,8.0,0,6,6,6,0,18-20,18,20,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,microaerophil,5315,1357,1,2019-11-27 10:57:22
147,151,0,22,22,22,0,0,0,0,0,24,24,24,0,24-26,24,26,0,20,20,20,0,14,14,14,0,8,8,8,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,24,24,24,0,30-32,30,32,0.0,26,26.0,26.0,0,14,14,14,0.0,12,12.0,12.0,0,22,22,22,0,28,28,28,0,8,8,8,0,22,22,22,0,24,24,24,0.0,0,0.0,0.0,0,0,0,0,0,20,20,20,0,22,22,22,0,0,0,0,0.0,24,24.0,24.0,0,14,14,14,0,32-34,32,34,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,,,,5315,1357,1,2019-11-27 10:57:22
148,152,0,44-46,44,46,0,38,38,38,0,42,42,42,0,46,46,46,0,36,36,36,0,44,44,44,0,42,42,42,0.0,30,30.0,30.0,0.0,0,0.0,0.0,0,50,50,50,0,34,34,34,0.0,32,32.0,32.0,0,24,24,24,0.0,24,24.0,24.0,0,22-24,22,24,0,30-32,30,32,0,30,30,30,0,28,28,28,0,26,26,26,0.0,0,0.0,0.0,0,12,12,12,0,22,22,22,0,18,18,18,0,8,8,8,0.0,26,26.0,26.0,0,24,24,24,0,34-36,34,36,0.0,30,30.0,30.0,0.0,38,38.0,38.0,0.0,40-42,40.0,42.0,0.0,34,34.0,34.0,0.0,32,32.0,32.0,0.0,0,0.0,0.0,0.0,28,28.0,28.0,0.0,20,20.0,20.0,0.0,34,34.0,34.0,Mueller-Hinton Agar,,,,14450,1393,1,2019-11-27 10:57:22
149,153,0,32,32,32,0,26,26,26,0,30,30,30,0,32,32,32,0,28,28,28,0,26,26,26,0,28,28,28,0.0,20,20.0,20.0,0.0,0,0.0,0.0,0,36,36,36,0,20,20,20,0.0,20,20.0,20.0,0,18,18,18,0.0,12,12.0,12.0,0,10,10,10,0,24,24,24,0,20,20,20,0,20,20,20,0,20,20,20,0.0,0,0.0,0.0,0,10,10,10,0,12,12,12,0,16,16,16,0,8,8,8,0.0,14,14.0,14.0,0,18,18,18,0,20,20,20,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,14450,1393,1,2019-11-27 10:57:22
150,154,0,26,26,26,0,0,0,0,0,30,30,30,0,36-38,36,38,0,32,32,32,0,30,30,30,0,26,26,26,0.0,44,44.0,44.0,0.0,42-44,42.0,44.0,0,32,32,32,0,12,12,12,0.0,20,20.0,20.0,0,20-22,20,22,0.0,22,22.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,36-38,36,38,0,40,40,40,0.0,0,0.0,0.0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0.0,22,22.0,22.0,0,20-22,20,22,0,6,6,6,0.0,42,42.0,42.0,0.0,0,0.0,0.0,0.0,36-38,36.0,38.0,0.0,32,32.0,32.0,0.0,10-12,10.0,12.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,10.0,10.0,0.0,34,34.0,34.0,Mueller-Hinton Agar,37.0,1.0,aerob,5058,1692,1,2019-11-27 10:57:22
151,155,0,22,22,22,0,0,0,0,0,28-30,28,30,0,38,38,38,0,30,30,30,0,28-30,28,30,0,34-36,34,36,0.0,42,42.0,42.0,0.0,42-44,42.0,44.0,0,32,32,32,0,8,8,8,0.0,22,22.0,22.0,0,22,22,22,0.0,22-24,22.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,38,0,40,40,40,0.0,0,0.0,0.0,0,26,26,26,0,8,8,8,0,0,0,0,0,0,0,0,0.0,24,24.0,24.0,0,20-22,20,22,0,6,6,6,0.0,42,42.0,42.0,0.0,6,6.0,6.0,0.0,38-40,38.0,40.0,0.0,32,32.0,32.0,0.0,8,8.0,8.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30-32,30.0,32.0,Mueller-Hinton Agar,37.0,1.0,aerob,5058,1692,1,2019-11-27 10:57:22
152,156,0,22,22,22,0,0,0,0,0,28-30,28,30,0,38,38,38,0,32,32,32,0,30,30,30,0,28,28,28,0.0,44,44.0,44.0,0.0,46,46.0,46.0,0,32-34,32,34,0,8,8,8,0.0,20-22,20.0,22.0,0,22-24,22,24,0.0,24,24.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,36-38,36,38,0,40,40,40,0.0,0,0.0,0.0,0,26,26,26,0,10,10,10,0,0,0,0,0,0,0,0,0.0,34,34.0,34.0,0,20,20,20,0,0,0,0,0.0,46,46.0,46.0,0.0,0,0.0,0.0,0.0,40,40.0,40.0,0.0,32,32.0,32.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,34,34.0,34.0,Mueller-Hinton Agar,,,,5058,1692,1,2019-11-27 10:57:22
153,157,0,30,30,30,0,16,16,16,0,34,34,34,0,40-42,40,42,0,42-44,42,44,0,34,34,34,0,30-32,30,32,0.0,50,50.0,50.0,0.0,50,50.0,50.0,0,34-36,34,36,0,44,44,44,0.0,46,46.0,46.0,0,24-26,24,26,0.0,30,30.0,30.0,0,8,8,8,0,18-20,18,20,0,12,12,12,0,46,46,46,0,42-44,42,44,0.0,22,22.0,22.0,0,30,30,30,0,40,40,40,0,10,10,10,0,22-24,22,24,0.0,44-46,44.0,46.0,0,22,22,22,0,40,40,40,0.0,>50,50.0,100.0,0.0,18-20,18.0,20.0,0.0,>50,50.0,100.0,0.0,42,42.0,42.0,0.0,18-20,18.0,20.0,0.0,0,0.0,0.0,0.0,22,22.0,22.0,0.0,10,10.0,10.0,0.0,50,50.0,50.0,M 804,,,,11698,1685,1,2019-11-27 10:57:22
154,158,0,28,28,28,0,0,0,0,0,30-32,30,32,0,40,40,40,0,36-38,36,38,0,30,30,30,0,26-28,26,28,0.0,42,42.0,42.0,0.0,40,40.0,40.0,0,30,30,30,0,34,34,34,0.0,40,40.0,40.0,0,22-24,22,24,0.0,22,22.0,22.0,0,8,8,8,0,18,18,18,0,10,10,10,0,38,38,38,0,38,38,38,0.0,18,18.0,18.0,0,22,22,22,0,38,38,38,0,0,0,0,0,18,18,18,0.0,26-28,26.0,28.0,0,18,18,18,0,30,30,30,0.0,42,42.0,42.0,0.0,16,16.0,16.0,0.0,>50,50.0,100.0,0.0,36-38,36.0,38.0,0.0,20-22,20.0,22.0,0.0,10-12,10.0,12.0,0.0,20,20.0,20.0,0.0,8,8.0,8.0,0.0,40,40.0,40.0,M 804,37.0,1.0,aerob,11698,1685,1,2019-11-27 10:57:22
155,159,0,28,28,28,0,0,0,0,0,30,30,30,0,40-42,40,42,0,36,36,36,0,34,34,34,0,30-32,30,32,0.0,44,44.0,44.0,0.0,40-42,40.0,42.0,0,32-34,32,34,0,38,38,38,0.0,40,40.0,40.0,0,22-24,22,24,0.0,22-24,22.0,24.0,0,8,8,8,0,16-18,16,18,0,0,0,0,0,38,38,38,0,38,38,38,0.0,20,20.0,20.0,0,24,24,24,0,40,40,40,0,0,0,0,0,22-24,22,24,0.0,26,26.0,26.0,0,20,20,20,0,32,32,32,0.0,44,44.0,44.0,0.0,16,16.0,16.0,0.0,50,50.0,50.0,0.0,34,34.0,34.0,0.0,12,12.0,12.0,0.0,0,0.0,0.0,0.0,22-24,22.0,24.0,0.0,8,8.0,8.0,0.0,36-38,36.0,38.0,Mueller-Hinton Agar,,,,11698,1685,1,2019-11-27 10:57:22
156,160,0,30-32,30,32,0,0,0,0,0,34,34,34,0,42-44,42,44,0,38-40,38,40,0,30-32,30,32,0,28,28,28,0.0,50,50.0,50.0,0.0,42-44,42.0,44.0,0,32,32,32,0,40-42,40,42,0.0,44-46,44.0,46.0,0,26,26,26,0.0,28,28.0,28.0,0,8,8,8,0,20,20,20,0,10-12,10,12,0,42,42,42,0,42,42,42,0.0,20,20.0,20.0,0,28,28,28,0,42,42,42,0,0,0,0,0,22,22,22,0.0,30,30.0,30.0,0,20,20,20,0,36,36,36,0.0,50,50.0,50.0,0.0,20,20.0,20.0,0.0,22-24,22.0,24.0,0.0,40,40.0,40.0,0.0,24,24.0,24.0,0.0,0,0.0,0.0,0.0,20,20.0,20.0,0.0,6,6.0,6.0,0.0,40-42,40.0,42.0,Mueller-Hinton Agar,37.0,1.0,microaerophil,11698,1685,1,2019-11-27 10:57:22
157,161,0,32,32,32,0,8-10,8,10,0,32,32,32,0,42-44,42,44,0,40-42,40,42,0,34,34,34,0,30,30,30,0.0,44,44.0,44.0,0.0,42-44,42.0,44.0,0,28-30,28,30,0,36-38,36,38,0.0,42,42.0,42.0,0,22,22,22,0.0,24,24.0,24.0,0,8,8,8,0,18,18,18,0,10,10,10,0,40-42,40,42,0,40,40,40,0.0,20,20.0,20.0,0,22-24,22,24,0,40,40,40,0,0,0,0,0,22,22,22,0.0,28-30,28.0,30.0,0,20,20,20,0,36-38,36,38,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,M 804,37.0,,,11698,1685,1,2019-11-27 10:57:22
158,162,0,20-22,20,22,0,0,0,0,0,28-30,28,30,0,36,36,36,0,36,36,36,0,32,32,32,0,32,32,32,0.0,>50,50.0,100.0,0.0,>50,50.0,100.0,0,40,40,40,0,34-36,34,36,0.0,34-36,34.0,36.0,0,24,24,24,0.0,26,26.0,26.0,0,6-8,6,8,0,12-14,12,14,0,12,12,12,0,42,42,42,0,44-46,44,46,0.0,18,18.0,18.0,0,36,36,36,0,20-22,20,22,0,8,8,8,0,18,18,18,0.0,26,26.0,26.0,0,20,20,20,0,34,34,34,0.0,>50,50.0,100.0,0.0,10-12,10.0,12.0,0.0,>50,50.0,100.0,0.0,40,40.0,40.0,0.0,8-10,8.0,10.0,0.0,12-14,12.0,14.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42-44,42.0,44.0,Mueller-Hinton Agar,,,,5210,1821,1,2019-11-27 10:57:22
159,163,0,8-10,8,10,0,0,0,0,0,24,24,24,0,32,32,32,0,30,30,30,0,24,24,24,0,30-32,30,32,0.0,40,40.0,40.0,0.0,38-40,38.0,40.0,0,34-36,34,36,0,30,30,30,0.0,34,34.0,34.0,0,22,22,22,0.0,22,22.0,22.0,0,0,0,0,0,12-14,12,14,0,0,0,0,0,34,34,34,0,34,34,34,0.0,16,16.0,16.0,0,30,30,30,0,28,28,28,0,0,0,0,0,16,16,16,0.0,32,32.0,32.0,0,18-20,18,20,0,26-28,26,28,0.0,40,40.0,40.0,0.0,0,0.0,0.0,0.0,34,34.0,34.0,0.0,32-34,32.0,34.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30,30.0,30.0,Mueller-Hinton Agar,,,,5171,1822,1,2019-11-27 10:57:22
160,164,0,28,28,28,0,18,18,18,0,20,20,20,0,28,28,28,0,22-24,22,24,0,28,28,28,0,28,28,28,0.0,24,24.0,24.0,0.0,10,10.0,10.0,0,30,30,30,0,16,16,16,0.0,16,16.0,16.0,0,14,14,14,0.0,14,14.0,14.0,0,12,12,12,0,16,16,16,0,16,16,16,0,18,18,18,0,18,18,18,0.0,0,0.0,0.0,0,10,10,10,0,12,12,12,0,12,12,12,0,6,6,6,0.0,14,14.0,14.0,0,14,14,14,0,14,14,14,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,,n.d.,,,Mueller-Hinton Agar,37.0,,,14451,1872,1,2019-11-27 10:57:22
161,165,0,20,20,20,0,10-12,10,12,0,18,18,18,0,34,34,34,0,40-42,40,42,0,22,22,22,0,14,14,14,0.0,32-34,32.0,34.0,0.0,0,0.0,0.0,0,40,40,40,0,32,32,32,0.0,34-36,34.0,36.0,0,10,10,10,0.0,10,10.0,10.0,0,24,24,24,0,26,26,26,0,34,34,34,0,40,40,40,0,32-34,32,34,0.0,10,10.0,10.0,0,24-26,24,26,0,28,28,28,0,10-12,10,12,0,14,14,14,0.0,24,24.0,24.0,0,16-18,16,18,0,34,34,34,0.0,28-30,28.0,30.0,0.0,42-44,42.0,44.0,0.0,0,0.0,0.0,0.0,48,48.0,48.0,0.0,26-28,26.0,28.0,0.0,0,0.0,0.0,0.0,20,20.0,20.0,0.0,20,20.0,20.0,0.0,42,42.0,42.0,Mueller-Hinton Agar,,,,5666,2223,1,2019-11-27 10:57:22
